product_title,rating,transaction_id,date,channel,region,customer_id,quantity,price,revenue
The Dirty Little Secrets of Getting Your Dream Job,Four,1,2020-05-02,Store,US,13068,3,35.370400729016275,106.11120218704883
Mesaerion: The Best Science Fiction Stories 1800-1849,One,2,2025-07-20,Online,Asia,40027,4,32.506908489420816,130.02763395768326
Libertarianism for Beginners,Two,3,2024-07-30,Online,US,40294,3,47.085821287003434,141.2574638610103
On a Midnight Clear,Three,4,2020-04-08,Mobile,US,19924,3,14.8117836257247,44.4353508771741
Online Marketing for Busy Authors: A Step-By-Step Guide,One,5,2024-09-27,Mobile,Europe,40383,3,51.179700581601985,153.53910174480595
Reasons to Stay Alive,Two,6,2024-02-23,Mobile,Asia,12891,3,28.02424532159683,84.0727359647905
Reskilling America: Learning to Labor in the Twenty-First Century,Two,7,2023-08-08,Online,Asia,49018,2,22.380649640484883,44.761299280969766
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,8,2023-10-08,Store,Asia,27204,3,14.103680382192147,42.31104114657644
Without Borders (Wanderlove #1),Two,9,2023-05-10,Store,Asia,32403,1,50.10008644389203,50.10008644389203
Reasons to Stay Alive,Two,10,2022-05-13,Mobile,Europe,17743,1,24.443537518016456,24.443537518016456
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,11,2024-02-17,Store,Asia,10484,4,26.57650717689241,106.30602870756964
This One Summer,Four,12,2025-11-07,Mobile,Europe,44090,1,16.73262629825201,16.73262629825201
Security,Two,13,2019-07-30,Mobile,Europe,49661,2,43.89566321216679,87.79132642433358
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,14,2024-10-05,Mobile,Asia,35961,5,28.842503003602033,144.21251501801015
Soul Reader,Two,15,2022-01-13,Mobile,Asia,46842,2,46.76975546215357,93.53951092430714
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,16,2025-08-07,Online,US,14558,3,41.652374186894626,124.95712256068387
The Torch Is Passed: A Harding Family Story,One,17,2019-11-02,Mobile,Asia,14281,2,20.102249021764244,40.20449804352849
Sophie's World,Five,18,2019-04-13,Mobile,Asia,19705,2,17.14810411992217,34.29620823984434
Reasons to Stay Alive,Two,19,2020-06-01,Mobile,Asia,44267,2,29.20139504949688,58.40279009899376
When We Collided,One,20,2020-06-02,Mobile,Asia,21432,2,28.735626317827553,57.471252635655105
You can't bury them all: Poems,Two,21,2019-01-04,Mobile,Europe,28339,2,35.26902773441534,70.53805546883068
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,22,2024-11-10,Mobile,Europe,26070,4,18.18824925358937,72.75299701435748
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,23,2020-11-08,Online,Europe,42995,3,25.871347425267352,77.61404227580206
Obsidian (Lux #1),Two,24,2023-12-31,Mobile,Europe,23536,1,12.348367417308765,12.348367417308765
In the Country We Love: My Family Divided,Four,25,2022-09-29,Online,Asia,18666,5,20.626330434291276,103.13165217145638
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,26,2021-07-10,Mobile,Europe,20194,2,57.84415858637859,115.68831717275718
Reskilling America: Learning to Labor in the Twenty-First Century,Two,27,2025-11-03,Mobile,Europe,41652,3,18.139428779419664,54.418286338258994
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,28,2025-07-15,Mobile,US,47414,1,13.883015461941941,13.883015461941941
Black Dust,Five,29,2019-03-12,Online,US,41577,5,28.616700975524886,143.08350487762442
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,30,2024-11-11,Store,Europe,13596,2,14.073554419511565,28.14710883902313
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,31,2023-10-21,Mobile,Asia,26315,3,25.573950417055514,76.72185125116654
Untitled Collection: Sabbath Poems 2014,Four,32,2023-10-13,Online,Europe,49622,3,11.778283780505118,35.33485134151535
"In a Dark, Dark Wood",One,33,2024-01-12,Mobile,Asia,24478,4,15.971588444791715,63.88635377916686
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,34,2022-10-10,Mobile,US,32115,5,17.055977112804957,85.27988556402478
In Her Wake,One,35,2020-05-31,Store,US,30474,1,13.680004527297351,13.680004527297351
Without Borders (Wanderlove #1),Two,36,2021-12-06,Online,Asia,31791,5,52.884200916216386,264.42100458108195
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,37,2022-12-22,Online,Europe,40243,3,20.39535319258871,61.18605957776613
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,38,2024-02-24,Store,US,38809,4,15.642521337871658,62.57008535148663
Soumission,One,39,2019-01-14,Mobile,Europe,23892,5,54.09005735073898,270.4502867536949
The Murder That Never Was (Forensic Instincts #5),Three,40,2024-01-09,Store,Asia,40772,5,46.67963304011054,233.39816520055268
Rip it Up and Start Again,Five,41,2022-03-28,Mobile,Europe,46485,2,35.038897874648086,70.07779574929617
The Past Never Ends,Four,42,2023-05-07,Store,Asia,19007,2,58.20064922743131,116.40129845486263
Without Borders (Wanderlove #1),Two,43,2023-09-28,Mobile,Asia,26362,1,48.52751694307564,48.52751694307564
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,44,2024-07-30,Mobile,Asia,14788,5,26.707885059436894,133.53942529718447
Set Me Free,Five,45,2022-07-10,Mobile,Asia,31254,5,20.1917083708311,100.9585418541555
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,46,2021-03-27,Online,Asia,25214,2,18.650217292763557,37.300434585527114
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,47,2021-05-10,Mobile,Europe,21816,1,32.65669327226493,32.65669327226493
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,48,2020-07-07,Online,US,16729,5,22.606131533766074,113.03065766883037
Private Paris (Private #10),Five,49,2023-09-15,Online,Europe,25922,5,38.6820998863176,193.410499431588
In Her Wake,One,50,2022-07-01,Mobile,Asia,38764,4,10.998316897608497,43.99326759043399
When We Collided,One,51,2021-09-19,Store,Europe,36110,3,32.172117753910165,96.5163532617305
Thirst,Five,52,2022-04-19,Mobile,US,41401,3,18.31643875830082,54.94931627490246
Olio,One,53,2024-07-11,Store,Europe,47008,1,23.655586597813524,23.655586597813524
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,54,2019-04-23,Mobile,Europe,40854,5,36.14991829559854,180.74959147799268
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,55,2019-10-30,Mobile,US,11825,2,52.794926389346244,105.58985277869249
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,56,2022-07-23,Online,Europe,41054,1,13.171685932632057,13.171685932632057
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,57,2024-08-06,Online,US,47052,4,44.54140889139201,178.16563556556804
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,58,2020-09-22,Store,Asia,41465,5,19.52354893547449,97.61774467737246
In Her Wake,One,59,2019-12-21,Online,US,41716,1,15.371088623779652,15.371088623779652
Thirst,Five,60,2023-09-13,Mobile,US,17605,2,16.015291020098925,32.03058204019785
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,61,2019-09-07,Store,Asia,28729,3,31.98689013409314,95.96067040227942
The Requiem Red,One,62,2020-04-22,Mobile,Asia,22152,2,21.178240125959526,42.35648025191905
On a Midnight Clear,Three,63,2023-08-20,Online,Europe,41374,2,15.932519322972299,31.865038645944598
In the Country We Love: My Family Divided,Four,64,2021-11-17,Online,US,21111,3,23.532592765235357,70.59777829570606
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,65,2020-05-03,Store,Asia,32315,1,48.64985949090422,48.64985949090422
The Death of Humanity: and the Case for Life,Four,66,2023-06-24,Mobile,Europe,41141,2,62.75793382125221,125.51586764250442
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,67,2023-10-16,Online,Asia,34930,1,47.808657770037804,47.808657770037804
Chase Me (Paris Nights #2),Five,68,2022-10-11,Mobile,US,24053,3,29.906392455949128,89.71917736784738
Obsidian (Lux #1),Two,69,2019-09-07,Online,Asia,19504,1,12.738904877172322,12.738904877172322
Untitled Collection: Sabbath Poems 2014,Four,70,2019-07-20,Store,US,19252,2,16.424066805948538,32.848133611897076
"Layered: Baking, Building, and Styling Spectacular Cakes",One,71,2023-08-04,Mobile,Asia,39603,3,47.1349206143917,141.4047618431751
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,72,2023-08-11,Online,Asia,26605,2,14.592169034652299,29.184338069304598
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,73,2019-04-21,Online,Asia,37398,5,51.41463467811005,257.0731733905502
Wall and Piece,Four,74,2020-03-29,Mobile,Asia,19856,3,45.865475261195044,137.59642578358512
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,75,2019-09-30,Store,Asia,40994,1,40.51280142258604,40.51280142258604
Wall and Piece,Four,76,2020-09-13,Mobile,US,34792,5,39.799514421725654,198.99757210862828
Slow States of Collapse: Poems,Three,77,2020-07-07,Mobile,Europe,42489,5,62.61443227018281,313.07216135091403
